user_id,recommendation
0,"54623, 25341,25351, 25467,27049, 27409"
1,"25792, 27184,30067, 30984,36584, 25439,26060, 26776,25322, 25930"
3,"25725, 26981,25368, 27051,25356, 25395,25372, 25410,29937, 48630"
4,"25430, 25800,27604, 30168,34247, 39366,28435, 33120,27815, 27821,43354, 48796"
5,"25783, 27383,25756, 26196,25416, 25446"
6,"25750, 26445,25399, 25447,25357, 33284"
7,"34938, 27403,28654, 28790,26020, 26325,25338, 27512,25399, 25447,25445, 25717,41777, 27049,39632, 25482,26458, 27756,40344, 49251,26006, 27476"
8,"26437, 27437,25755, 28114,25541, 30165,25878, 25435,25351, 25467"
9,"25473, 27872,25675, 26130,39906, 28991"
10,"42485, 28119,44970, 25573,27526, 28444,27801, 42924"
11,"25461, 27614,25880, 26551,35413, 36895,34525, 25325,25669, 32785"
12,"35572, 36557,25688, 26628,36931, 25536,26686, 27649,25433, 25635,27484, 36290,25493, 26650,26027, 26644"
13,"26231, 27185,28483, 29069,40243, 43550,28231, 53144,25989, 39922"
14,"25687, 25908,28669, 29673,25815, 26150,25732, 26421"
15,"25356, 25934,25617, 26101,25410, 25449,25548, 31840,25652, 26173,53445, 25944,25341, 25387"
16,"26397, 26443,26427, 27179,25399, 25447,25351, 25467,25410, 25449"
17,"25606, 26760,35465, 41020,41858, 47362,25416, 25446"
18,"25322, 25930,36425, 48012"
19,"25625, 26032,26323, 28605,53275, 54249,25354, 25899,25522, 25588"
20,"27105, 31063"
21,"27848, 29792,29907, 37986,28085, 45679,31355, 36375"
22,"26502, 28456,25945, 27320,25343, 27369,25520, 25630"
23,"27903, 28070,25472, 25565"
24,"38807, 25399,33038, 39283,35413, 36895,32200, 36206,41954, 29611"
25,"25825, 33147,25987, 27873,28839, 39198,25784, 27938"
26,"31443, 33972,25763, 26702,27774, 40104,25602, 28917"
27,"26309, 26336,25935, 28997,45646, 53164"
28,"25399, 25447,51855, 26739,26277, 32103,28179, 31988,25687, 25908"
29,"37481, 29513,29675, 31361,25756, 25956,26124, 32345,25864, 26633"
30,"25356, 25934,37821, 31788,29637, 26167,25450, 26552"
31,"25386, 25822,25940, 26685"
32,"25416, 25446,25389, 26158,25362, 25526,30402, 25891"
33,"27745, 33375,26397, 26616,25445, 25717,25604, 25863"
34,"26641, 26995,29944, 32104,25383, 25404"
35,"51479, 52744,25658, 26200,25512, 25531,44291, 25578,41539, 50377,25996, 27415,25997, 26940,25386, 25822,32535, 33713,25413, 25885"
36,"30578, 40504,35413, 36895"
37,"41162, 25752,40391, 43090,25433, 25635"
38,"25935, 28997,27505, 29301,33967, 44211"
39,"25410, 25449,25442, 26459"
40,"25413, 25885,27366, 27802"
41,"25399, 25447,31443, 33972,26721, 29245,26454, 27445,27056, 27306,31318, 25419,39263, 54903"
42,"25497, 25500,25335, 26180,26471, 27513"
43,"26617, 28187,30099, 34199,29408, 47763,29837, 29894,28267, 28571"
44,"25945, 27320,26858, 29614,25601, 37674,29129, 30055,25423, 25559,27719, 28563,25742, 25770,25372, 25555,35413, 36895"
45,"25756, 26196,25383, 25404,40439, 25625,25590, 26777,25652, 26173,26716, 27425,25356, 25934,25714, 26052,26287, 43027"
46,"25823, 27375,29907, 37986"
47,"30900, 41615,30820, 32659"
48,"27153, 27535,47528, 26542,27406, 28405,25404, 25696,25387, 25462,46913, 25362"
49,"25434, 27481,25720, 27707,25816, 26790"
50,"27299, 31081,25533, 25678,25417, 25556,25342, 25361,25818, 26213,25536, 25537,35520, 25407,26233, 26332"
51,"35181, 39906,26739, 26906,26428, 26514,26688, 28253"
52,"25765, 25989,32492, 26606,31443, 33972,30164, 37347"
53,"25628, 25975,32599, 36498,25847, 26498,46339, 25383,29270, 30330,25513, 26165"
54,"27259, 28382,26095, 33060,27206, 33645"
55,"27369, 27413,25681, 25690,31934, 47185,25410, 25449"
56,"26133, 26152,25483, 34006"
57,"26454, 27445,31576, 33283,51736, 26280,25973, 30105,45622, 26990,25348, 25737"
58,"26170, 27550,25453, 25685,25731, 25374,26229, 26484"
59,"26138, 26267,27573, 28333,25435, 25452,25453, 25685"
60,"31975, 25389,25439, 25466,27622, 30441"
61,"29334, 30527,30324, 32251"
62,"32351, 25536,25955, 26811,26996, 28176,25335, 25416"
63,"25383, 25404,27307, 27601"
