user_id,recommendation
1951,"[43437, 26937, 31521, 43654, 48136, 29004, 46334]"
4517,"[26397, 26616, 27873, 43242, 31470, 45718, 47677]"
4469,"[25472, 25565, 31841, 36516, 32238, 26863, 28686]"
502,"[25772, 31388, 31521, 43654, 48136, 29004, 46334]"
1620,"[25376, 25463, 45762, 53548, 44659, 31549, 26910]"
4736,"[26946, 27493, 43141, 41771, 29580, 27477, 51867]"
562,"[25687, 25908, 36227, 32016, 28754, 31350, 27068]"
2211,"[25442, 26459, 44292, 32557, 47223, 29371, 50173]"
1783,"[31966, 38403, 29926, 49147, 39817, 27672, 41339]"
256,"[26996, 28176, 45762, 53548, 44659, 31549, 26910]"
4969,"[25530, 25572, 31206, 52270, 48047, 43447, 53087]"
4034,"[25905, 27820, 40491, 30318, 41712, 27698, 50938]"
1036,"[25341, 25387, 27873, 43242, 31470, 45718, 47677]"
5245,"[26926, 45321, 27457, 29262, 32596, 32279, 37759]"
3255,"[33625, 38725, 44292, 32557, 47223, 29371, 50173]"
2119,"[51367, 25341, 27873, 43242, 31470, 45718, 47677]"
2059,"[25417, 25556, 32929, 33795, 38863, 27480, 29660]"
555,"[37842, 41202, 44198, 54573, 48942, 53614, 32253]"
1717,"[25926, 26376, 28354, 35689, 31346, 26973, 53213]"
5040,"[35967, 51634, 31344, 38931, 53815, 53691, 52029]"
2695,"[25464, 27817, 45762, 53548, 44659, 31549, 26910]"
3278,"[31103, 32408, 44198, 54573, 48942, 53614, 32253]"
64,"[32693, 44560, 28753, 27180, 36797, 31895]"
971,"[25611, 25694, 45762, 53548, 44659, 31549, 26910]"
506,"[36775, 42002, 48073, 32843, 48300, 49178, 38714]"
3766,"[29418, 30152, 27361, 32039, 32872, 29008, 38097]"
4168,"[35099, 49271, 44449, 41330, 31124, 46422, 28699]"
521,"[26253, 37444, 53600, 29125, 27062, 32537, 36190]"
904,"[25417, 25556, 32929, 33795, 38863, 27480, 29660]"
4914,"[25539, 29736, 45762, 53548, 44659, 31549, 26910]"
2737,"[25433, 27202, 40576, 29573, 32884, 27866, 34396]"
1547,"[32452, 33523, 27457, 29262, 32596, 32279, 37759]"
2381,"[36304, 42504, 36227, 32016, 28754, 31350, 27068]"
982,"[26253, 37444, 53600, 29125, 27062, 32537, 36190]"
4309,"[43402, 25780, 31521, 43654, 48136, 29004, 46334]"
1959,"[25342, 25361, 47109, 28358, 37451, 48079, 27509]"
1398,"[26257, 30259, 31206, 52270, 48047, 43447, 53087]"
3773,"[30346, 32633, 36612, 31560, 46194, 45656, 46427]"
1806,"[30956, 26254, 53249, 52648, 33486, 51286, 39770]"
4817,"[25439, 25466, 31841, 36516, 32238, 26863, 28686]"
347,"[26348, 27864, 45762, 53548, 44659, 31549, 26910]"
4299,"[29602, 32606, 31206, 52270, 48047, 43447, 53087]"
1351,"[26060, 26776, 45762, 53548, 44659, 31549, 26910]"
5160,"[28881, 33202, 49604, 30793, 50603, 50260, 37783]"
3840,"[25524, 27427, 40647, 27689, 38940, 49980, 29981]"
2018,"[25435, 25452, 28139, 51916, 34284, 54199, 26871]"
5096,"[31003, 32779, 53764, 34023, 26542, 27766, 51006]"
1325,"[25459, 25494, 27288, 29295, 37176, 32349, 31646]"
665,"[26798, 34768, 32929, 33795, 38863, 27480, 29660]"
2846,"[29115, 26229, 44449, 41330, 31124, 46422, 28699]"
1041,"[35413, 36895, 44488, 43435, 34127]"
5139,"[28910, 42707, 28139, 51916, 34284, 54199, 26871]"
4766,"[25433, 25635, 40576, 29573, 32884, 27866, 34396]"
4651,"[25341, 25387, 27873, 43242, 31470, 45718, 47677]"
4360,"[27809, 29778, 48418, 40931, 30568, 44593, 47635]"
579,"[25381, 31014, 44449, 41330, 31124, 46422, 28699]"
3279,"[25386, 25822, 31841, 36516, 32238, 26863, 28686]"
1862,"[25483, 34006, 36612, 31560, 46194, 45656, 46427]"
1422,"[25413, 25511, 42538, 29742, 52880, 27890, 41374]"
2269,"[29944, 32104, 27180, 28753, 32693, 31895, 36797]"
1825,"[31130, 45266, 31206, 52270, 48047, 43447, 53087]"
3347,"[39134, 44240, 27426, 28345, 43385, 33114, 53823]"
5323,"[25621, 26090, 45762, 53548, 44659, 31549, 26910]"
2700,"[25576, 29717, 45762, 53548, 44659, 31549, 26910]"
3319,"[25351, 25467, 27904, 40709, 54857, 30476, 41949]"
4764,"[27594, 28353, 44198, 54573, 48942, 53614, 32253]"
2764,"[25516, 25591, 43141, 41771, 29580, 27477, 51867]"
4554,"[40848, 43395, 27457, 29262, 32596, 32279, 37759]"
4522,"[32495, 33080, 27180, 28753, 32693, 31895, 36797]"
3934,"[29675, 34013, 26691, 27850, 52492, 50768, 33847]"
459,"[32167, 45906, 51462, 40712, 28334, 42166, 30424]"
5349,"[25817, 30656, 49049, 46047]"
1453,"[52974, 28355, 42538, 29742, 52880, 27890, 41374]"
2908,"[25896, 27036, 48418, 40931, 30568, 44593, 47635]"
2849,"[25381, 31014, 44449, 41330, 31124, 46422, 28699]"
4288,"[40574, 42822, 27810, 53923, 26762, 49004, 33497]"
1912,"[26496, 27263, 45762, 53548, 44659, 31549, 26910]"
4938,"[27526, 28444, 28139, 51916, 34284, 54199, 26871]"
3374,"[25562, 25637, 45762, 53548, 44659, 31549, 26910]"
3619,"[37158, 25541, 38531, 52104, 50059, 28727, 30526]"
2084,"[25572, 25972, 31206, 52270, 48047, 43447, 53087]"
1344,"[25944, 35307, 30688, 51309, 30253, 38610, 52380]"
2806,"[35413, 36895, 44488, 43435, 34127]"
4019,"[39884, 42351, 35168, 43556, 28197, 29415, 54298]"
3461,"[34009, 35326, 26691, 27850, 52492, 50768, 33847]"
499,"[41475, 25356, 27810, 53923, 26762, 49004, 33497]"
4151,"[39391, 27468, 27810, 53923, 26762, 49004, 33497]"
3283,"[38252, 53653, 31206, 52270, 48047, 43447, 53087]"
197,"[25545, 26151, 26411, 49804, 27730, 33689, 51610]"
4066,"[25459, 25494, 27288, 29295, 37176, 32349, 31646]"
4003,"[25636, 25870, 45762, 53548, 44659, 31549, 26910]"
784,"[25652, 26173, 27810, 53923, 26762, 49004, 33497]"
1689,"[44903, 25731, 45762, 53548, 44659, 31549, 26910]"
2522,"[47002, 25364, 53764, 34023, 26542, 27766, 51006]"
