user_id,recommendation
1951,"[43437, 26937]"
4517,"[26397, 26616]"
4469,"[25472, 25565]"
502,"[25772, 31388]"
1620,"[25376, 25463]"
4736,"[26946, 27493]"
562,"[25687, 25908]"
2211,"[25442, 26459]"
1783,"[31966, 38403]"
256,"[26996, 28176]"
4969,"[25530, 25572]"
4034,"[25905, 27820]"
1036,"[25341, 25387]"
5245,"[26926, 45321]"
3255,"[33625, 38725]"
2119,"[51367, 25341]"
2059,"[25417, 25556]"
555,"[37842, 41202]"
1717,"[25926, 26376]"
5040,"[35967, 51634]"
2695,"[25464, 27817]"
3278,"[31103, 32408]"
64,"[32693, 44560]"
971,"[25611, 25694]"
506,"[36775, 42002]"
3766,"[29418, 30152]"
4168,"[35099, 49271]"
521,"[26253, 37444]"
904,"[25417, 25556]"
4914,"[25539, 29736]"
2737,"[25433, 27202]"
1547,"[32452, 33523]"
2381,"[36304, 42504]"
982,"[26253, 37444]"
4309,"[43402, 25780]"
1959,"[25342, 25361]"
1398,"[26257, 30259]"
3773,"[30346, 32633]"
1806,"[30956, 26254]"
4817,"[25439, 25466]"
347,"[26348, 27864]"
4299,"[29602, 32606]"
1351,"[26060, 26776]"
5160,"[28881, 33202]"
3840,"[25524, 27427]"
2018,"[25435, 25452]"
5096,"[31003, 32779]"
1325,"[25459, 25494]"
665,"[26798, 34768]"
2846,"[29115, 26229]"
1041,"[35413, 36895]"
5139,"[28910, 42707]"
4766,"[25433, 25635]"
4651,"[25341, 25387]"
4360,"[27809, 29778]"
579,"[25381, 31014]"
3279,"[25386, 25822]"
1862,"[25483, 34006]"
1422,"[25413, 25511]"
2269,"[29944, 32104]"
1825,"[31130, 45266]"
3347,"[39134, 44240]"
5323,"[25621, 26090]"
2700,"[25576, 29717]"
3319,"[25351, 25467]"
4764,"[27594, 28353]"
2764,"[25516, 25591]"
4554,"[40848, 43395]"
4522,"[32495, 33080]"
3934,"[29675, 34013]"
459,"[32167, 45906]"
5349,"[25817, 30656]"
1453,"[52974, 28355]"
2908,"[25896, 27036]"
2849,"[25381, 31014]"
4288,"[40574, 42822]"
1912,"[26496, 27263]"
4938,"[27526, 28444]"
3374,"[25562, 25637]"
3619,"[37158, 25541]"
2084,"[25572, 25972]"
1344,"[25944, 35307]"
2806,"[35413, 36895]"
4019,"[39884, 42351]"
3461,"[34009, 35326]"
499,"[41475, 25356]"
4151,"[39391, 27468]"
3283,"[38252, 53653]"
197,"[25545, 26151]"
4066,"[25459, 25494]"
4003,"[25636, 25870]"
784,"[25652, 26173]"
1689,"[44903, 25731]"
2522,"[47002, 25364]"
2615,"[25658, 26200]"
3897,"[25636, 25870]"
620,"[25750, 26445]"
3390,"[25382, 28478]"
96,"[26568, 28726]"
1989,"[40898, 44341]"
1595,"[25335, 25355]"
1588,"[35413, 36895]"
1883,"[40741, 28409]"
3738,"[26427, 27179]"
4437,"[25383, 25404]"
1070,"[25350, 25661]"
268,"[25351, 25467]"
3857,"[25652, 26173]"
4401,"[25962, 32831]"
1259,"[25633, 26000]"
4213,"[43374, 47857]"
2595,"[26052, 26438]"
676,"[27255, 46242]"
1461,"[26348, 27864]"
173,"[25516, 25591]"
975,"[25373, 25992]"
4274,"[26397, 26443]"
9,"[25473, 27872]"
3267,"[44916, 25668]"
996,"[26737, 26878]"
5122,"[25572, 25972]"
1881,"[25326, 25333]"
2960,"[48692, 26103]"
1982,"[25530, 25572]"
3936,"[45981, 26786]"
2989,"[28336, 30399]"
2189,"[25440, 25667]"
1423,"[26288, 34745]"
2612,"[34711, 40128]"
5048,"[25384, 28974]"
2488,"[28350, 34300]"
1164,"[25469, 25830]"
5000,"[27299, 31081]"
812,"[31443, 33972]"
3821,"[25399, 25447]"
3044,"[25342, 25361]"
2918,"[26176, 30313]"
4488,"[26584, 37142]"
2677,"[30943, 37640]"
3003,"[25777, 25874]"
362,"[31322, 41142]"
3658,"[28015, 29243]"
2782,"[25350, 25661]"
499,"[26617, 28187]"
4378,"[25413, 25511]"
4659,"[28381, 54142]"
784,"[26411, 27268]"
1284,"[25416, 25446]"
4323,"[34482, 38967]"
1243,"[38759, 52331]"
4788,"[25457, 27082]"
667,"[40042, 26493]"
2016,"[26369, 27128]"
979,"[25621, 26090]"
304,"[25579, 31094]"
1507,"[25433, 25635]"
2831,"[29009, 31273]"
4327,"[30256, 25818]"
1861,"[32071, 32087]"
1352,"[27214, 40196]"
4648,"[25533, 25678]"
4413,"[25450, 26552]"
2364,"[30990, 26701]"
2779,"[25411, 25499]"
5148,"[29025, 38631]"
2462,"[32477, 52028]"
2488,"[48801, 26229]"
3976,"[25625, 26032]"
3071,"[25341, 25387]"
830,"[38839, 25399]"
1390,"[54355, 25416]"
4522,"[27455, 28014]"
144,"[28169, 32201]"
1643,"[25354, 25899]"
94,"[26181, 26357]"
1395,"[49627, 26580]"
5304,"[25945, 27320]"
4470,"[29645, 32383]"
5162,"[26323, 28605]"
4392,"[35413, 36895]"
5171,"[30445, 32504]"
4229,"[26339, 31189]"
1490,"[36465, 26309]"
987,"[29747, 30027]"
3867,"[30232, 50469]"
2535,"[25925, 26066]"
1568,"[25453, 25685]"
17,"[25606, 26760]"
4229,"[39043, 26348]"
2428,"[25442, 26459]"
2339,"[25568, 29684]"
2401,"[27410, 27532]"
4143,"[25396, 25592]"
3696,"[52502, 25634]"
5041,"[25929, 26420]"
2405,"[25751, 27989]"
4541,"[25533, 25678]"
3228,"[29365, 31529]"
3532,"[25751, 27989]"
4834,"[28233, 26754]"
3040,"[25720, 27707]"
1913,"[25732, 26421]"
4501,"[25416, 25446]"
1605,"[25497, 25500]"
1201,"[37690, 42938]"
5174,"[28103, 34290]"
3284,"[35697, 25636]"
1543,"[54236, 28650]"
3323,"[28768, 25417]"
5300,"[25756, 26196]"
2158,"[32387, 32840]"
1052,"[34467, 38227]"
4039,"[25688, 26628]"
77,"[26382, 28962]"
999,"[26666, 41616]"
3841,"[37434, 47410]"
4147,"[27221, 45603]"
1678,"[25435, 25452]"
2984,"[29325, 34127]"
1532,"[25530, 25572]"
2847,"[33750, 28218]"
4539,"[27616, 28489]"
2719,"[40403, 45964]"
2897,"[30962, 33072]"
1319,"[32604, 25618]"
942,"[26233, 26332]"
1254,"[25633, 26000]"
1438,"[28151, 28394]"
101,"[25385, 25474]"
1109,"[26133, 26152]"
2441,"[25399, 25447]"
1599,"[26949, 26955]"
1606,"[50849, 32756]"
1953,"[25893, 26320]"
493,"[25328, 25456]"
4981,"[35413, 36895]"
4935,"[26093, 27264]"
2555,"[26209, 26351]"
3306,"[26898, 28406]"
2915,"[25417, 25556]"
2865,"[25913, 27982]"
5046,"[28654, 28790]"
3999,"[31977, 26020]"
2512,"[28730, 32762]"
2404,"[26369, 27128]"
1949,"[25530, 25572]"
1516,"[36775, 42002]"
2270,"[25399, 25447]"
2050,"[25667, 26070]"
3990,"[41405, 44290]"
1954,"[29120, 30151]"
1406,"[25341, 25387]"
3287,"[25411, 25499]"
1200,"[25844, 30775]"
5019,"[26425, 29666]"
4227,"[49171, 27485]"
1882,"[25823, 27375]"
4134,"[25383, 25404]"
3641,"[30453, 53654]"
3882,"[25399, 25447]"
738,"[25396, 25592]"
2239,"[26154, 26717]"
3700,"[25883, 26017]"
4923,"[25572, 25972]"
4381,"[25997, 26940]"
4232,"[26737, 26878]"
1605,"[37841, 41678]"
249,"[53168, 25411]"
4244,"[27279, 28357]"
1273,"[25809, 25988]"
5337,"[26093, 27264]"
3069,"[28781, 25402]"
5069,"[33680, 45699]"
4419,"[28550, 29653]"
1430,"[27044, 27247]"
2734,"[44739, 25955]"
1677,"[36053, 46837]"
1456,"[34608, 41310]"
2207,"[25328, 25456]"
3386,"[28047, 30561]"
1854,"[25732, 26421]"
2663,"[25913, 27982]"
5320,"[32500, 25383]"
3565,"[25459, 25494]"
3322,"[27457, 28462]"
1359,"[25832, 27998]"
4597,"[27802, 31044]"
931,"[28825, 31607]"
2882,"[33211, 25383]"
2852,"[25607, 25845]"
1801,"[25483, 25954]"
4068,"[25411, 25499]"
333,"[28628, 36536]"
730,"[25756, 26196]"
17,"[35465, 41020]"
5307,"[27217, 33580]"
276,"[27680, 34363]"
2461,"[25832, 27998]"
1399,"[27084, 28735]"
4652,"[25541, 30165]"
1959,"[25480, 25502]"
2896,"[45060, 54238]"
5316,"[29602, 32606]"
2899,"[43325, 43731]"
3618,"[34903, 36456]"
3341,"[30161, 31235]"
380,"[26179, 26770]"
4179,"[26947, 28688]"
2160,"[30662, 39197]"
1018,"[33105, 35325]"
2990,"[25682, 25947]"
2279,"[41123, 25520]"
4154,"[25777, 25874]"
2961,"[27049, 27409]"
1784,"[35479, 41691]"
219,"[25429, 25859]"
5240,"[31103, 32408]"
787,"[29230, 33705]"
4984,"[26880, 29554]"
1440,"[34882, 41671]"
4556,"[30989, 47814]"
3018,"[26095, 33060]"
1777,"[28378, 31703]"
4659,"[25786, 35289]"
3016,"[25514, 25727]"
1840,"[26909, 27196]"
4675,"[25600, 25911]"
4176,"[26095, 33060]"
4817,"[33720, 52955]"
1344,"[25416, 25446]"
3903,"[50102, 29131]"
3492,"[25865, 26185]"
1822,"[35711, 25593]"
2929,"[30321, 44181]"
2929,"[25379, 25422]"
4159,"[26502, 28456]"
2890,"[27734, 25995]"
1806,"[26349, 27700]"
2688,"[32180, 26113]"
1467,"[25429, 25859]"
2878,"[26934, 29380]"
809,"[26429, 28995]"
4018,"[34838, 34869]"
4909,"[25351, 25467]"
4725,"[25765, 25989]"
3367,"[25814, 26543]"
3597,"[25514, 25727]"
4703,"[25513, 26165]"
649,"[54250, 25320]"
4132,"[28312, 28750]"
3234,"[26227, 26454]"
164,"[25544, 26048]"
4044,"[29517, 31156]"
3824,"[25383, 25404]"
3710,"[25756, 26196]"
3693,"[26189, 26330]"
2966,"[25366, 26084]"
5034,"[25618, 26500]"
4497,"[26596, 26663]"
3799,"[25780, 26295]"
5095,"[37889, 25417]"
4071,"[26427, 27179]"
4484,"[25605, 25689]"
3476,"[25434, 27481]"
4431,"[31698, 35081]"
4747,"[25530, 25572]"
3244,"[25976, 27861]"
4258,"[25603, 31105]"
2422,"[38956, 27252]"
1803,"[28267, 28571]"
3668,"[25385, 26208]"
2613,"[25489, 27564]"
898,"[25587, 26235]"
4746,"[25777, 25874]"
3206,"[25475, 25775]"
2988,"[53494, 25618]"
2401,"[36845, 25777]"
3279,"[25386, 25822]"
3718,"[25593, 25632]"
1591,"[28664, 34285]"
596,"[52304, 25533]"
4896,"[25605, 25689]"
3746,"[25868, 26903]"
3950,"[35725, 38326]"
968,"[27506, 30139]"
3218,"[25575, 27169]"
556,"[32167, 45906]"
1918,"[47819, 32176]"
813,"[25687, 25908]"
1662,"[25476, 32160]"
1979,"[29365, 31529]"
2088,"[26138, 26267]"
817,"[41135, 42079]"
4148,"[25383, 25404]"
3156,"[26229, 26361]"
2183,"[28371, 25683]"
3586,"[25459, 25494]"
1954,"[25445, 25717]"
2239,"[26105, 26640]"
3217,"[25440, 25667]"
3423,"[25386, 25822]"
4677,"[26880, 29554]"
4379,"[25891, 26004]"
1928,"[27820, 29263]"
5292,"[25929, 26420]"
2740,"[25379, 25422]"
3711,"[27412, 29205]"
2944,"[31990, 25406]"
398,"[25326, 25333]"
766,"[25749, 29227]"
4827,"[25926, 26376]"
301,"[26397, 26616]"
1868,"[35413, 36895]"
2339,"[31355, 36375]"
1162,"[25865, 26185]"
4074,"[25347, 25573]"
2424,"[30360, 32453]"
3852,"[25532, 25894]"
3902,"[31991, 25354]"
4261,"[26429, 28995]"
4818,"[25498, 26766]"
2992,"[26782, 34420]"
3738,"[25341, 25387]"
2407,"[36238, 46210]"
3682,"[25453, 25685]"
2994,"[48420, 25445]"
2421,"[25341, 25387]"
1564,"[28020, 41233]"
968,"[26972, 27887]"
2169,"[26632, 26839]"
2763,"[27315, 34138]"
1109,"[25505, 26738]"
1810,"[25644, 27031]"
4202,"[25521, 41455]"
5257,"[32781, 48130]"
2877,"[25992, 26591]"
1685,"[41467, 25383]"
3589,"[52385, 25516]"
2544,"[26064, 28866]"
4762,"[25732, 26421]"
