user_id,job_id
1951,7662
4517,12970
4469,12662
502,14356
1620,23126
4736,20583
562,309
2211,24816
1783,18295
256,14154
4969,10954
4034,24939
1036,11765
5245,24357
3255,16889
2119,15557
2059,6695
555,8124
1717,24202
5040,25029
2695,10732
3278,11579
64,17229
971,21299
506,16409
3766,1828
4168,21285
521,11258
904,10679
4914,9939
2737,6466
1547,14980
2381,15683
982,21723
4309,8189
1959,23263
1398,5095
3773,19538
1806,20455
4817,16284
347,10767
4299,9510
1351,10691
5160,9497
3840,5195
2018,12997
5096,21239
1325,10766
665,18860
2846,22540
1041,24930
5139,24009
4766,6026
4651,14754
4360,23486
579,13752
3279,3081
1862,12979
1422,1239
2269,1098
1825,25051
3347,9445
5323,15883
2700,11359
3319,9199
4764,15350
2764,8718
4554,1780
4522,21141
3934,19955
459,19694
5349,3346
1453,21118
2908,8550
2849,200
4288,12769
1912,13566
4938,23167
3374,11785
3619,4956
2084,21110
1344,14684
2806,8329
4019,2530
3461,11516
499,5181
4151,21215
3283,24367
197,12265
4066,16143
4003,23967
784,4513
1689,18683
2522,8763
2615,10102
3897,8901
620,14424
3390,6377
96,22728
1989,9350
1595,14134
1588,11655
1883,21656
3738,3328
4437,24058
1070,5062
268,6656
3857,22689
4401,685
1259,396
4213,21855
2595,21621
676,4044
1461,3866
173,15749
975,4056
4274,15520
9,8218
3267,888
996,16810
5122,3670
1881,10289
2960,25214
1982,22018
3936,21519
2989,7534
2189,20758
1423,2721
2612,10728
5048,11030
2488,5228
1164,2854
5000,8845
812,11098
3821,4704
3044,16467
2918,8181
4488,8513
2677,12782
3003,18597
362,23971
3658,16518
2782,15157
499,18250
4378,10514
4659,19276
784,13948
1284,6520
4323,23353
1243,21349
4788,1877
667,15896
2016,10495
979,17778
304,13715
1507,17300
2831,20067
4327,21466
1861,18790
1352,14441
4648,2025
4413,22759
2364,17611
1943,1082
2779,12303
5148,22677
2462,3872
2488,1302
3976,15964
3071,11989
830,16862
1390,10612
4522,15955
144,14408
1643,19543
94,1463
1395,11767
5304,24364
4470,5811
5162,9930
4392,5954
5171,14749
4229,3830
1490,24655
987,13656
3867,14796
2535,10974
1568,9814
17,19840
4229,11177
2428,20637
2339,6897
2401,22078
4143,10863
3696,23461
5041,16595
2405,14117
4541,21794
3228,9532
3532,2381
4834,3721
3040,22308
1913,12471
4501,5473
1605,22200
1201,3774
5174,17228
3284,20850
1543,20241
3323,3122
5300,10666
2158,7379
1052,22659
4039,17013
77,20192
999,187
3841,857
4147,4882
1678,10331
2130,23949
2984,548
1532,2739
2847,4038
4539,3913
2719,19051
2897,14411
1319,5048
942,817
1254,14031
1438,20414
101,7149
1109,20363
2441,20270
1599,11221
1606,11878
1953,11485
493,1353
4981,23803
4935,20407
2555,11400
3306,24871
4616,16542
2915,601
2865,18795
5046,18654
3999,20449
2512,2716
2404,9037
1949,9646
1516,24395
2270,5970
2050,2964
3990,20138
1954,9093
1406,19704
3287,14094
1200,18159
5019,6274
4227,15456
1882,1357
4134,19396
3641,3454
3882,18702
738,10249
2239,16981
3700,24234
4923,22995
4381,3668
4232,22344
1605,4531
249,17607
4244,6711
1273,7606
5337,14902
3069,763
5069,5075
4419,7789
1430,17878
2734,519
1677,14339
1456,23953
2207,12481
3386,12731
1854,22567
2663,9375
5320,20714
3565,12778
3322,17190
1359,13209
4597,1723
931,15356
2882,1777
2852,4576
1801,18112
4068,2709
333,12702
730,11288
17,17320
5307,23389
276,10366
2461,15727
1399,23044
4652,3255
1959,10937
2896,15843
5316,9510
2899,10861
3618,24010
3341,6863
380,24660
4179,23483
2160,25039
1018,18319
2990,2595
2279,1172
4154,15497
2961,19957
1784,16618
219,10706
5240,5389
787,19402
4984,5114
1440,1457
4556,8828
3018,1278
1777,20325
4659,946
3016,6912
1840,15428
4675,22449
4176,22883
4817,7044
1344,18566
3903,4624
3492,6101
1822,2392
2929,24811
2929,4534
4159,1480
2890,16516
1806,15139
2688,10513
1467,20960
2878,10794
809,19677
4018,21602
4909,3320
4725,21925
3367,9202
3597,24948
4703,541
649,25280
4132,24991
3234,16356
164,12566
4044,6208
3824,23537
3710,21920
3693,9696
2966,2514
5034,9188
4497,4725
3799,3049
5095,17669
4071,3328
4484,18730
3476,14306
4431,6731
4747,8232
3244,6365
4258,10031
2422,10115
1803,20891
3668,2139
2613,2628
898,10222
4746,2714
3206,10733
2988,18255
2401,25124
3279,23331
3718,25122
1591,12557
596,15667
4896,2691
3746,14329
3950,10793
968,12391
3218,8622
2385,9683
556,4079
1918,13949
813,444
1662,23148
1979,7076
2430,8832
2088,12601
817,6866
4148,12120
3156,12904
2183,10584
3586,15111
1954,2933
2239,13618
3217,25056
3423,387
4677,17023
4379,19292
1928,18446
5292,20835
2740,2886
3711,21234
2944,15220
398,23360
766,5423
4827,24202
301,18046
1868,7678
2339,11629
1162,8869
4074,16470
2424,17927
3852,5467
3902,3931
4261,19677
4818,17104
2992,15570
3738,17573
2407,12442
3682,6137
2994,13447
2421,7224
1564,25232
968,440
2169,11095
2763,13645
1109,321
1810,21917
4202,4668
5257,24670
2877,5300
1685,7738
3589,18251
2544,19897
4762,966
197,16913
4537,8196
1350,5016
1551,16044
3990,20579
890,5177
4951,6727
502,16905
2309,5162
5345,15302
690,14499
2185,3478
4342,10990
2577,9463
2910,25000
666,14603
2936,9327
4023,11101
4602,7727
3837,14483
1512,5339
2076,16852
3493,6477
2280,14113
2436,5346
189,13190
4765,17932
3641,14255
4179,8129
4873,14850
3267,15329
1970,2012
2546,15673
1611,19314
4732,14417
304,7632
1740,17299
2980,12020
3059,15292
3123,22910
3125,20060
2160,21301
1950,9939
2347,4920
5104,20481
560,22448
4854,15653
752,19222
3532,17582
350,8616
2129,943
5127,19920
3216,18450
3389,11791
1158,1830
1220,19512
4856,23925
5255,4418
2416,8974
3758,4015
5151,17818
4171,1703
1048,11575
2420,5045
4750,19705
2546,1939
2690,14557
919,24785
4156,20519
414,17199
686,4260
2436,4176
2220,5595
4373,9895
2132,4357
2988,11784
2159,18562
513,14693
3038,13208
3872,4874
4292,9350
685,16962
1948,20978
3888,10159
3845,17468
5325,12846
5124,13315
1216,25086
1881,5939
3952,12206
3754,21590
1869,9513
2632,1954
4024,6810
335,11119
4427,13612
328,13901
165,16397
4997,22475
1798,557
3790,23534
3569,3826
5258,23178
767,6421
3725,13234
3703,21132
2032,18007
243,248
4749,8913
5128,19174
2179,7283
4968,3265
809,3680
3199,16666
4327,10479
5029,12376
4118,11379
1939,6239
589,20343
523,7154
4491,4943
2534,3776
4969,10571
